output,input,instruction
Using Personal Genomic Data within Primary Care: A Bioinformatics Approach to Pharmacogenomics,"One application of personalized medicine is the tailoring of medication to the individual, so that the medication will have the highest chance of success. In order to individualize medication, one must have a complete inventory of all current pharmaceutical compounds (a detailed formulary) combined with pharmacogenetic datasets, the genetic makeup of the patient, their (medical) family history and other health-related data. For healthcare professionals to make the best use of this information, it must be visualized in a way that makes the most medically relevant data accessible for their decision-making. Similarly, to enable bioinformatics analysis of these data, it must be prepared and provided through an interface for controlled computational analysis. Due to the high degree of personal information gathered for such initiatives, privacy-sensitive implementation choices and ethical standards are paramount. The Personal Genetic Locker project provides an approach to enable the use of personal genomic data in primary care. In this paper, we provide a description of the Personal Genetic Locker project and show its utility through a use case based on open standards, which is illustrated by the 4MedBox system.",Please summerize the given abstract to a title
Evaluating A Nonemergency Medical Transportation Benefit For Accountable Care Organization Members.,"Nonemergency medical transportation benefits, often using smartphone application-based ridesharing services, are increasingly being offered as part of population health management programs. However, the impact of these programs on health care use and costs remains understudied. We conducted a mixed-methods evaluation of a nonemergency medical transportation benefit offered to members of a Medicare accountable care organization (ACO) within a large academic health system, the UNC Health Alliance ACO. Participation in the transportation program was associated with a greater number of per person per year outpatient visits (9.2) and higher outpatient spending ($4,420) than in a comparison group. However, there was no difference in inpatient admissions or emergency department visits, and the program was not cost saving. Qualitative analyses revealed that participants were highly satisfied with the program, reporting that it eased financial burdens and made them feel safer, more empowered, and better able to take control of their health. These findings suggest that although transportation programs are commonly introduced as ways to contain health care spending, it may be better to think of them as programs to improve health care access for people facing difficult circumstances.",Please summerize the given abstract to a title
Initiating Opioid Use Disorder Medication via Telemedicine During COVID-19: Implications for Proposed Reforms to the Ryan Haight Act,"BACKGROUND: The Ryan Haight Act generally requires a clinician to conduct an in-person visit before prescribing an opioid use disorder (OUD) medication. This requirement has impeded use of telemedicine to expand OUD treatment, and many policymakers have called for its removal. During the COVID-19 pandemic, beginning March 16, 2020, the requirement was temporarily waived. It is unclear whether clinicians who treat OUD patients perceive telemedicine to be a safe and effective means of OUD medication initiation. OBJECTIVE: To understand clinician use of and comfort level with using telemedicine to initiate patients on medication for opioid use disorder. DESIGN: National survey administered electronically via WebMD/Medscape’s online clinician panel in fall 2020. PARTICIPANTS: A total of 602 clinicians (primary care providers, psychiatrists, nurse practitioners or certified nurse specialists, and physician assistants) participated in the survey. MAIN MEASURES: Frequency of video, audio-only, and in-person visits for medication initiation, comfort level with using video for new patient visits with OUD. KEY RESULTS: Clinicians varied substantially in their use of telemedicine for medication initiation. Approximately 25% used telemedicine for most initiations while 40% used only in-person visits. The majority (55.8%) expressed at least some discomfort with using telemedicine for treating new OUD patients, although clinicians with more OUD patients were less likely to express such discomfort. CONCLUSION: Findings suggest that a permanent relaxation of the Ryan Haight requirement may not result in widespread adoption of telemedicine for OUD medication initiation without additional supports or incentives. SUPPLEMENTARY INFORMATION: The online version contains supplementary material available at 10.1007/s11606-021-07174-w.",Please summerize the given abstract to a title
"The Dynamics of Changes in the Concentration of IgG against the S1 Subunit in Polish Healthcare Workers in the Period from 1 to 12 Months after Injection, Including Four COVID-19 Vaccines","Background: The presented research made it possible to obtain the characteristics of changes in anti-SARS-CoV-2 IgG within one year of vaccination in healthcare workers. Materials and Methods: The research group consisted of 18,610 participants represented by medical and administration staff. IgG antibody concentrations were determined by ELISA. Results: At 5–8 months after full vaccination, the levels of anti-SARS-CoV-2 IgG with equal vaccines were similar. The exception was JNJ-78436735, for which IgG levels were significantly lower. In the 9th month after vaccination, an increase in the anti-SARS-CoV-2 IgG level, suggesting asymptomatic infection, was observed in a large group of participants. Significantly higher levels of anti-SARS-CoV-2 IgG antibodies were observed after the booster dose compared to the second dose. The increase in antibodies was observed already around the 5th day after the injection of the booster dose, and was maximized at approximately the 14th day. Conclusion: The cut-off date for protection against the disease seems to be the period 8–9 months from the vaccination for mRNA vaccines and 5–6 months for vector vaccines. The introduction of a booster dose was the right decision, which could have a real impact on restricting the further transmission of the virus.",Please summerize the given abstract to a title
The Experience of Online Learning During COVID-19 Among Physiotherapy Undergraduates in a Lower Middle Income Country: A Report From Sri Lanka,"Introduction: /background: Online learning have existed for over a decade. However, lower middle income countries, such as Sri Lanka, have hardly utilized these services. Instead, they follow the traditional in-person teaching activities. Yet, with the onset of COVID-19, due to sheer necessity, an alternative method had to be utilized if university education was to proceed. Hence, this study’s main objective was to explore the experience of online learning among physiotherapy undergraduates during the pandemic. Method: An online cross-sectional survey was conducted among physiotherapy undergraduates from all three universities in Sri Lanka that offer a physiotherapy degree. The study questionnaire, consisting of 49 items, was formulated based on a literature review. Each item assessed an aspect of online learning. Results: : Of the 147 responses obtained, 72% were females and 50% of the participants were from the 3 rd year of study. The results indicated that during the pandemic period, 63% of the participants spent between 10-40 hours on online learning. Students’ perception about online learning was assessed. Higher average values were obtained for all students’ perceptions statements regarding online learning. However, the perceived effectiveness of online learning, as compared to in-person learning, had a relatively low mean score. Being able to stay at home and to learn at their own pace were commonly mentioned advantages of online learning. However, 36% of participants indicated that internet connectivity issues impacted their learning whilst 78% of the participants indicated that clinical teaching and practical classes could not be replaced by online teaching. Hence, it appears that about 77% of the participants prefer a hybrid learning method, even post-pandemic, which is opined to be made more effective if the classes are more interactive, stimulating and engaging. Conclusion: The study results indicate that there are both positive and negative aspects of online learning education. Problems such as internet connectivity issues, possibly more prominent in lower income countries, should be addressed to provide a satisfactory learning experience to students. In looking to the future, post-pandemic, a hybrid teaching method would be ideal for a study programme that requires practical classes and clinical exposure.",Please summerize the given abstract to a title
Inference in Stochastic Epidemic Models via Multinomial Approximations,"We introduce a new method for inference in stochastic epidemic models which uses recursive multinomial approximations to integrate over unobserved variables and thus circumvent likelihood intractability. The method is applicable to a class of discrete-time, finite-population compartmental models with partial, randomly under-reported or missing count observations. In contrast to state-of-the-art alternatives such as Approximate Bayesian Computation techniques, no forward simulation of the model is required and there are no tuning parameters. Evaluating the approximate marginal likelihood of model parameters is achieved through a computationally simple filtering recursion. The accuracy of the approximation is demonstrated through analysis of real and simulated data using a model of the 1995 Ebola outbreak in the Democratic Republic of Congo. We show how the method can be embedded within a Sequential Monte Carlo approach to estimating the time-varying reproduction number of COVID-19 in Wuhan, China, recently published by Kucharski et al. 2020.",Please summerize the given abstract to a title
Determining depression and related factors in a society affected by COVID-19 pandemic,"BACKGROUND: Turkey has one of the highest death rates in the world due to COVID-19 pandemic. The pandemic caused anxiety and depression in individuals. However, there is insufficient information on the effects of COVID-19 on individuals and their coping methods. Therefore, mental problems associated with the pandemic need to be evaluated rapidly. AIMS: This study was carried out to determine depression levels and related factors in a society affected by COVID-19. METHOD: The study was planned using a descriptive cross-sectional design. The study started 2 weeks after the first diagnosis of COVID-19 in Turkey and was carried out between March 23 and April 3, 2020. The study included 1115 adult participants who were between 18 and 65 years of age and were citizens of the Turkish Republic. The study was carried out using online questionnaires, and data were collected with the Personal Information Form and the Beck Depression Inventory. The data were evaluated using IBM SPSS Statistics, version 20 software program. RESULTS: The depression scores of female participants who were between 18 and 29 years of age, single, students, and had less income than their expenses were found to be higher than others. People who experienced fear of being infected and infecting others, had a cleaning obsession, anxiety about the future, sadness, and anxiousness experienced depression at lower levels when compared to other participants. Participants who had to change their place of residence during the quarantine, experienced loneliness, fear of death, hopelessness, sleep problems, felt useless and worthless, started to smoke and drink alcohol, and experienced depression at moderate levels. Depression scores of those who spent time with their family, made time for themselves, were busy with home education or work were lower compared to others. CONCLUSION: The COVID-19 pandemic caused mild-level depression in the Turkish society.",Please summerize the given abstract to a title
"Long Term Physical, Mental and Social Health Effects of COVID-19 in the Pediatric Population: A Scoping Review","BackgroundThe majority of COVID-19 symptom presentations in adults and children appear to run their course within a couple of weeks. However, a subgroup of adults has started to emerge with effects lasting several months or more after initial infection. However, little is known about long term physical, mental and social health effects of COVID-19 in the pediatric population. The purpose of this review was to determine these impacts well into the second year of the pandemic. MethodsA search was conducted using PUBMED, Web of Science, Science Direct, and COCHRANE between 11/1/2019 and 9/1/2021. Search inclusion criteria were as follows: (1) COVID-19 illness and symptoms in children; (2) SARS-COv2 in children; (3) English language; and (4) human studies only. ResultsThe few studies that have documented long-term physical symptoms in children show that fatigue, difficulty in concentrating (brain fog), sleep disturbances, and sensory problems are the most reported outcomes. Most studies examining the impact of COVID-19 in pediatric populations have focused on initial clinical presentation, and symptoms, which are similar to those in adult populations. Additionally, COVID-19 has had a moderate impact on children and adolescents social environment, which may exacerbate current and future physiological, psychological, behavioral, and academic outcomes. ConclusionsThere are limited studies reporting long physical symptoms of COVID-19 in the pediatric population. However, pediatric COVID-19 cases are underreported due to low rates of testing and symptomatic infection, which calls for more longitudinal studies. Children who have experienced COVID-19 illness should be monitored for long physiological, psychological, behavioral, and academic outcomes.",Please summerize the given abstract to a title
Expanding COVID-19 Vaccine Availability: Role for Combined Orthogonal Serology Testing (COST),"Background: The persisting Coronavirus disease 2019 (COVID-19) pandemic and limited vaccine supply has led to a shift in global health priorities to expand vaccine coverage. Relying on severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) molecular testing alone cannot reveal the infection proportion, which could play a critical role in vaccination prioritization. We evaluated the utility of a combination orthogonal serological testing (COST) algorithm alongside RT-PCR to quantify prevalence with the aim of identifying candidate patient clusters to receive single and/or delayed vaccination. Methods: We utilized 108,505 patients with suspected COVID-19 in a retrospective analysis of SARS-CoV-2 RT-PCR vs. IgG-nucleocapsid (IgG(NC)) antibody testing coverage in routine practice for the estimation of prevalence. Prospectively, an independent cohort of 21,388 subjects was simultaneously tested by SARS-CoV-2 RT-PCR and IgG(NC) to determine the prevalence. We used 614 prospective study subjects to assess the utility of COST (IgG(NC), IgM-spike (IgM(SP)), and IgG-spike (IgG(SP))) in establishing the infection proportion to identify a single-dose vaccination cohort. Results: Retrospectively, we observed a 6.3% (6871/108,505) positivity for SARS-CoV-2 RT-PCR, and only 2.3% (2533/108,505) of cases had paired IgG(NC) serology performed. Prospectively, IgG(NC) serology identified twice the number of COVID-positive cases in relation to RT-PCR alone. COST further increased the number of detected positive cases: IgG(NC)+ or IgM(SP)+ (18.0%); IgG(NC)+ or IgG(SP)+ (23.5%); IgM(SP)+ or IgG(SP)+ (23.8%); and IgG(NC)+ or IgM(SP)+ or IgG(SP)+ (141/584 = 24.1%). Conclusion: COST may be an effective tool for the evaluation of infection proportion and thus could define a cohort for a single dose and/or delayed vaccination.",Please summerize the given abstract to a title
Atypical SARS and Escherichia coli Bacteremia,We describe a patient with severe acute respiratory syndrome (SARS) whose clinical symptoms were masked by Escherichia coli bacteremia. SARS developed in a cluster of healthcare workers who had contact with this patient. SARS was diagnosed when a chest infiltrate developed and when the patient’s brother was hospitalized with acute respiratory failure. We highlight problems in atypical cases and offer infection control suggestions.,Please summerize the given abstract to a title
The AEROsolization of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2): Phase I,"BACKGROUND: The degree to which Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) is aerosolized has yet to be determined. The aim of this study is to prove methods of detection of aerosolization of SARS-CoV-2 in hospitalized patients in anticipation of testing for aerosolization in procedural and operative settings. METHODS: In this prospective study, inpatients with SARS-CoV-2 were identified. Demographic information was obtained, and a symptom questionnaire was completed. Polytetrafluoroethylene (PTFE) filters, which were attached to an air pump, were used to detect viral aerosolization and placed in four locations in each patient’s room. The filters were left in the rooms for a three-hour period. RESULTS: There were 10 patients who enrolled in the study, none of whom were vaccinated. Only two patients were more than a week from onset of symptoms, and half of the patients received treatment for COVID with antivirals and steroids. Among ten RT-PCR positive and hospitalized patients, and four filters per patient, there was only one positive SARS-CoV-2 aerosol sample, and it was directly attached to one of the patients. Overall, there was no correlation between symptoms or symptom onset and aerosolized test result. CONCLUSIONS: The results of this suggest that there is limited aerosolization of SARS-CoV-2 and provided proof of concept for this filter sampling technique. Further studies with increased sample size should be performed in a procedural and operative setting to provide more information about SARS-CoV-2 aerosolization.",Please summerize the given abstract to a title
Analysis of COVID-19 using a modified SLIR model with nonlinear incidence,"Infectious diseases kill millions of people each year, and they are the major public health problem in the world. This paper presents a modified Susceptible-Latent-Infected-Removed (SLIR) compartmental model of disease transmission with nonlinear incidence. We have obtained a threshold value of basic reproduction number [Formula: see text] and shown that only a disease-free equilibrium exists when [Formula: see text] and endemic equilibrium when [Formula: see text]. With the help of the Lyapunov-LaSalle Invariance Principle, we have shown that disease-free equilibrium and endemic equilibrium are both globally asymptotically stable. The study has also provided the model calibration to estimate parameters with month wise coronavirus (COVID-19) data, i.e. reported cases by worldometer from March 2020 to May 2021 and provides prediction until December 2021 in China. The Partial Rank Correlation Coefficient (PRCC) method was used to investigate how the model parameters’ variation impact the model outcomes. We observed that the most important parameter is transmission rate which had the most significant impact on COVID-19 cases. We also discuss the epidemiology of COVID-19 cases and several control policies and make recommendations for controlling this disease in China.",Please summerize the given abstract to a title
Recurrent TB: a systematic review and meta-analysis of the incidence rates and the proportions of relapses and reinfections.,"BACKGROUND A recurrent tuberculosis (TB) episode results from exogenous reinfection or relapse after cure. The use of genotyping allows the distinction between both. METHODS We did a systematic review and meta-analysis, using four databases to search for studies in English, French and Spanish published between 1 January 1980 and 30 September 2020 that assessed recurrences after TB treatment success and/or differentiated relapses from reinfections using genotyping. We calculated person years of follow-up and performed random-effects model meta-analysis for estimating pooled recurrent TB incidence rates and proportions of relapses and reinfections. We performed subgroup analyses by clinical-epidemiological factors and by methodological study characteristics. FINDINGS The pooled recurrent TB incidence rate was 2.26 per 100 person years at risk (95% CI 1.87 to 2.73; 145 studies). Heterogeneity was high (I2=98%). Stratified pooled recurrence rates increased from 1.47 (95% CI 0.87 to 2.46) to 4.10 (95% CI 2.67 to 6.28) per 100 person years for studies conducted in low versus high TB incidence settings. Background HIV prevalence, treatment drug regimen, sample size and duration of follow-up contributed too. The pooled proportion of relapses was 70% (95% CI 63% to 77%; I²=85%; 48 studies). Heterogeneity was determined by background TB incidence, as demonstrated by pooled proportions of 83% (95% CI 75% to 89%) versus 59% (95% CI 42% to 74%) relapse for studies from settings with low versus high TB incidence, respectively. INTERPRETATION The risk of recurrent TB is substantial and relapse is consistently the most frequent form of recurrence. Notwithstanding, with increasing background TB incidence the proportion of reinfections increases and the predominance of relapses among recurrences decreases. PROSPERO REGISTRATION NUMBER CRD42018077867.",Please summerize the given abstract to a title
Evaluating the emotion regulation of positive mood states among people with bipolar disorder using hierarchical clustering,"BACKGROUND: People with bipolar disorder (BD) frequently struggle with the recurrence of affective symptoms. However, the interplay between coping mechanism and positive mood state remains under-researched. AIM: To explore the associations among behavioral approach system (BAS) sensitivity level, coping, and positive mood states among people with BD. METHODS: Using a cross-sectional study design, 90 participants with BD were presented with four BAS-activating life event scenarios and assessed with regard to their BAS trait sensitivity, coping flexibility, and mood states. A hierarchical clustering method was used to identify different groups with different styles of coping. Multiple hierarchical regression analyses were conducted to examine the mediating and moderating roles of different components of coping on mood states. RESULTS: A three-cluster solution was found to best fit the present data set. The findings showed that a low mass of coping combined with low BAS sensitivity level protects people with BD from detrimentally accentuating mood states when they encounter BAS-activating life events. Moreover, coping flexibility is demonstrated to mediate and moderate the relationships between BAS sensitivity level and mood states. Specifically, subduing the perceived controllability and reducing the use of behavioral-activation/emotion-amplifying coping strategies could help buffer the effect of positive affect. CONCLUSION: The judicious use of coping in emotion regulation for people with BD when encountering BAS-activating life events was indicated. Practical applications and theoretical implications are highlighted.",Please summerize the given abstract to a title
COVID-19 patient care predicts nurses' parental burnout and child abuse: Mediating effects of compassion fatigue(),"BACKGROUND: Nurses who are also parents may be at risk not only for professional compassion fatigue, but also parental burnout – a reliable and valid predictor of child abuse and neglect. In support, recent research reveals that parents' COVID-19 related stressors predicted elevated potential for child abuse (Katz and Fallon, 2021). OBJECTIVE: We explored the harmful effects of the COVID-19 pandemic on nurses' parental burnout, child abuse, and child neglect, as mediated by compassion fatigue (i.e., a combination of job burnout and secondary traumatic stress). PARTICIPANTS AND SETTING: Participants were 244 nurses (M age = 32.4; 87% female) who were parents of young children (age 12 or under) recruited via chain referral sampling. METHODS: Participants completed an anonymous survey assessing the extent to which they care for COVID-19 patients, are exposed to patients suffering and dying from COVID-19, and have lost family income due to COVID-19. We also measured their compassion fatigue, compassion satisfaction, substance abuse, spouse conflict, parental burnout, child abuse, and child neglect. RESULTS: As hypothesized, direct care of COVID-19 patients, exposure to patient death and suffering due to COVID-19, and family income loss due to COVID-19 predicted greater compassion fatigue, which in turn, predicted greater parental burnout, child abuse, child neglect, spouse conflict, and substance abuse, (IEs ≥ 0.06, all ps < 0.05). Also, as compassion satisfaction increased, parental burnout, child abuse, child neglect, spouse conflict, and substance abuse decreased, rs ≥ −0.203, ps < 0.01. CONCLUSIONS: Theoretical implications and practical implications for medical practice and child abuse prevention are discussed.",Please summerize the given abstract to a title
"A description of rapid design and implementation of new features in an electronic health record in the United States Department of Veterans Affairs, Veterans Health Administration response to the Covid-19 pandemic","The onset of the COVID-19 global pandemic called for the implementation of new functionality to the Electronic Health Record (EHR) system for the United States Department of Veterans Affairs (VA), and VA responded rapidly. VA’s EHR-related COVID-19 response can be grouped into two categories 1) a new banner to provide a rapid way to view a patient’s COVID-19 status and 2) EHR templates for addressing COVID-19 screening and patient care during the COVID-19 pandemic. COVID-19 clinical reminder dialog templates were rapidly implemented to meet provider and patient needs for scenarios involving the care of patients suspected of COVID-19 infection and for treating and monitoring patients who tested positive. Semi-structured interviews were conducted with solution developers and users to elicit feedback on the design process as well as overall usability and utility. The new functionality in the EHR was developed, evaluated, and delivered at record speed in real time as the pandemic unfolded. This paper presents the process used for the rapid delivery of the new functionality and describes how VA was able to maintain a high standard of usability while creating this enhanced functionality in the face of an unprecedented challenge. https//doi.org/10.34105/j.kmel.2021.13.024",Please summerize the given abstract to a title
A comprehensive easy-to-use techno-human solution for the resource-constrained nations in the fight against communicable disease like the Coronavirus Pandemic,"Following the advent of the novel Coronavirus, the governments and authorities introduced various mobile applications in the fight against COVID-19. However, these are either restricted by the developer country or not comprised of certain key features, due to which, a vast population from the low- or middle-income country, remains underprivileged from associated benefits. The purpose of this study is to explore and demonstrate how to build a comprehensive and easy-to-use application for mobile health service delivery especially fabricated to fight communicable diseases like COVID-19. Mostly open-source technologies are used to build a distributed scalable client-server application. Then the application is evaluated with the stress-test and usability-test. Besides COVID-19 advisories and guidelines, the study demonstrates complete conceptualization and development of an IoT-based mobile application. It comprises three key features that bring comprehensiveness. One is the ‘contact logger & tracer’ that enables users to maintain a list of contacts who get notified if any of them reported COVID-19 positive in the last 14 days. Two is the ‘self-assessment' which helps users to predict the chances of COVID-19 infection using a scientific rationale. Three is the ‘infection tracker’ that guides users to identify infected hotspots to plan the route accordingly. The usability-test affirmed that the application is easy-to-use. Further, this study demonstrates how to construct such an easy-to-use application mostly with open-source resources. It can help the needy authorities or groups from resource-constrained countries to adopt and develop such applications quickly. Further research on the post-implementation effect will add value to this study.",Please summerize the given abstract to a title
Economic Policy Uncertainty Versus Sector Volatility: Evidence from India Using Multi-scale Wavelet Granger Causality Analysis,"The present study examines the relationship between Indian economic policy uncertainty (IEPU) and the different sector volatilities (SVs) of the Indian economy over the period 2006?2021. The relationship is studied using a multi-scale correlation framework, combining wavelet coherence analysis with the Granger causality test. The findings indicate a stronger relationship between the IEPU and SV for all sectors during COVID-19, primarily in the medium term. While IEPU led to SV during the global financial crisis (GFC), the SVs led to the IEPU during the COVID-19. However, the Granger causality test provides evidence that, in the long term, the SVs cause the IEPU while the IEPU leads to SV in the short term. The IT sector is crucial as its volatility leads to IEPU across all scales. These results have substantial implications for policymakers and portfolio managers.JEL Codes: G10, G17, G32",Please summerize the given abstract to a title
Identifying SARS-CoV-2 antiviral compounds by screening for small molecule inhibitors of nsp15 endoribonuclease,"SARS-CoV-2 is responsible for COVID-19, a human disease that has caused over 2 million deaths, stretched health systems to near-breaking point and endangered economies of countries and families around the world. Antiviral treatments to combat COVID-19 are currently lacking. Remdesivir, the only antiviral drug approved for the treatment of COVID-19, can affect disease severity, but better treatments are needed. SARS-CoV-2 encodes 16 non-structural proteins (nsp) that possess different enzymatic activities with important roles in viral genome replication, transcription and host immune evasion. One key aspect of host immune evasion is performed by the uridine-directed endoribonuclease activity of nsp15. Here we describe the expression and purification of nsp15 recombinant protein. We have developed biochemical assays to follow its activity, and we have found evidence for allosteric behaviour. We screened a custom chemical library of over 5000 compounds to identify nsp15 endoribonuclease inhibitors, and we identified and validated NSC95397 as an inhibitor of nsp15 endoribonuclease in vitro. Although NSC95397 did not inhibit SARS-CoV-2 growth in VERO E6 cells, further studies will be required to determine the effect of nsp15 inhibition on host immune evasion.",Please summerize the given abstract to a title
A two diffusion stochastic model for the spread of the new corona virus SARS-CoV-2,"We propose a refined version of the stochastic SEIR model for epidemic of the new corona virus SARS-Cov-2, causing the COVID-19 disease, taking into account the spread of the virus due to the regular infected individuals (transmission coefficient ß ), hospitalized individuals (transmission coefficient l ß , l > 0 ) and superspreaders (transmission coefficient ß ' ). The model is constructed from the corresponding ordinary differential model by introducing two independent environmental white noises in transmission coefficients for above mentioned classes - one noise for infected and hospitalized individuals and the other for superspreaders. Therefore, the model is defined as a system of stochastic differential equations driven by two independent standard Brownian motions. Existence and uniqueness of the global positive solution is proven, and conditions under which extinction and persistence in mean hold are given. The theoretical results are illustrated via numerical simulations.",Please summerize the given abstract to a title
Process and outcomes of telephone reassurance program training for older adult volunteers,"The purpose of this study was to examine the experience of Senior Companions with telephone reassurance program training delivered via Zoom and the feasibility of using teleconferencing as a platform for training older adult volunteers during the COVID-19 pandemic Volunteers were recruited from a local Senior Companion Program We assessed training enrollment and participation rates We also examined the overall participant experience with the program training by asking structured/semi-structured questions and analyzed the data using content analysis The average age of the volunteers was 72 5 (n=20) During the first recruitment, 39 Senior Companions expressed their interest in the program As a result, 20 out of 39 volunteers (51 3%) successfully completed the teleconference training (18 joined over the phone & 2 joined online) Findings from this pilot study suggest that the teleconferencing training was feasible for older adult volunteers and the volunteers discussed that the program training would benefit and support their volunteer roles The findings of this study provide insight for gerontological researchers and educators related to potential strategies for completing research and training in the midst of COVID-19 The use of teleconferencing training that incorporates best practices for older adults’ learning may offer promise for the potential scalability and sustainability of volunteer trainings during and after COVID-19",Please summerize the given abstract to a title
"Rapid Assessment and Containment of Candida auris Transmission in Postacute Care Settings-Orange County, California, 2019.","BACKGROUND Candida auris, a multidrug-resistant yeast, can spread rapidly in ventilator-capable skilled-nursing facilities (vSNFs) and long-term acute care hospitals (LTACHs). In 2018, a laboratory serving LTACHs in southern California began identifying species of Candida that were detected in urine specimens to enhance surveillance of C auris, and C auris was identified in February 2019 in a patient in an Orange County (OC), California, LTACH. Further investigation identified C auris at 3 associated facilities. OBJECTIVE To assess the prevalence of C auris and infection prevention and control (IPC) practices in LTACHs and vSNFs in OC. DESIGN Point prevalence surveys (PPSs), postdischarge testing for C auris detection, and assessments of IPC were done from March to October 2019. SETTING All LTACHs (n = 3) and vSNFs (n = 14) serving adult patients in OC. PARTICIPANTS Current or recent patients in LTACHs and vSNFs in OC. INTERVENTION In facilities where C auris was detected, PPSs were repeated every 2 weeks. Ongoing IPC support was provided. MEASUREMENTS Antifungal susceptibility testing and whole-genome sequencing to assess isolate relatedness. RESULTS Initial PPSs at 17 facilities identified 44 additional patients with C auris in 3 (100%) LTACHs and 6 (43%) vSNFs, with the first bloodstream infection reported in May 2019. By October 2019, a total of 182 patients with C auris were identified by serial PPSs and discharge testing. Of 81 isolates that were sequenced, all were clade III and highly related. Assessments of IPC identified gaps in hand hygiene, transmission-based precautions, and environmental cleaning. The outbreak was contained to 2 facilities by October 2019. LIMITATION Acute care hospitals were not assessed, and IPC improvements over time could not be rigorously evaluated. CONCLUSION Enhanced laboratory surveillance and prompt investigation with IPC support enabled swift identification and containment of C auris. PRIMARY FUNDING SOURCE Centers for Disease Control and Prevention.",Please summerize the given abstract to a title
A Qualitative Study of Health Workers' Experiences During Early Surges in the COVID-19 Pandemic in the U.S.: Implications for Ongoing Occupational Health Challenges,"BACKGROUND: Health workers (HWs) have faced significant threats to physical and psychological health during the COVID-19 pandemic. The recent surges associated with the spread of the delta variant in the U.S., coupled with political resistance to effective public health mitigation strategies, indicate that the risks experienced early in the pandemic are not likely to abate soon. This study sought to better understand the experiences, thoughts, concerns, and recommendations of HWs during one of the first major surges in the U.S. and to explore how these experiences might inform efforts to mitigate potential ongoing COVID-related negative health and psychological impacts on HWs. METHODS: HWs were recruited using a multi-faceted approach tailored to public health mitigation guidelines. Semi-structured interviews were conducted via video conference with front line HWs, support staff, and opioid use disorder service organization providers between April 1 and July 9, 2020 using the Social-Ecological Model as a framework. Interviews were audio-recorded and professionally transcribed; transcripts were analyzed inductively and deductively using thematic analytic methods, generating major themes and subthemes. RESULTS: A total of 22 HWs participated in the study; 14 were female; 3 identified as a member of a racial or ethnic minority population. Major themes identified included: (1) Institutions, Infrastructure, and the Pandemic; (2) Working Under Fire; (3) The Political Becomes Personal and (4) Hope. Themes and subthemes explicated the ways in which phenomena at personal, interpersonal, community, organizational, and societal levels affected HWs experiences and suggested potential mechanisms through which negative effects on HW mental health and health may be mitigated. CONCLUSIONS: Previous global infectious disease epidemics have had profound negative effects on HWs' health and mental health. This study suggests the potential for similar negative impacts that may be exacerbated by the U.S.'s current sociopolitical milieu. Efforts to systematically describe and quantify these effects and to intervene to mitigate them are warranted.",Please summerize the given abstract to a title
Analysis of Immune Escape Variants from Antibody-based Therapeutics against Covid-19,"Accelerated SARS-CoV-2 evolution under selective pressure by massive deployment of neutralizing antibody-based therapeutics is a concern with potentially severe implications for public health. We review here reports of documented immune escape after treatment with monoclonal antibodies and COVID19 convalescent plasma (CCP). While the former is mainly associated with specific single amino acid mutations at residues within the receptor-binding domain (e.g., E484K/Q, Q493R, and S494P), the few cases of immune evasion after CCP were associated with recurrent deletions within the N-terminal domain of Spike protein (e.g, {Delta}HV69-70, {Delta}LGVY141-144 and {Delta}AL243-244). Continuous genomic monitoring of non-responders is needed to better understand immune escape frequencies and fitness of emerging variants.",Please summerize the given abstract to a title
Discrimination in Lending? Evidence from the Paycheck Protection Program,"We assess the role of race in loans made through the Paycheck Protection Program (PPP). The PPP program, created by the US government as a response to the COVID-19 pandemic, provides loans to small businesses so they can keep employees on their payroll. We argue that the historical record and the PPP program design choices made it likely that many Black-owned businesses received smaller PPP loans than they should have. We find that Black-owned businesses received loans that were approximately 50% lower than observationally similar white-owned businesses. The effect is marginally smaller in areas with more bank competition and disappeared over time as changes to the PPP program were implemented.",Please summerize the given abstract to a title
Allosteric binders of ACE2 are promising anti-SARS-CoV-2 agents,"The COVID-19 pandemic has had enormous health, economic, and social consequences. Vaccines have been successful in reducing rates of infection and hospitalization, but there is still a need for an acute treatment for the disease. We investigate whether compounds that bind the human ACE2 protein can interrupt SARS-CoV-2 replication without damaging ACE2’s natural enzymatic function. Initial compounds were screened for binding to ACE2 but little interruption of ACE2 enzymatic activity. This set of compounds was extended by application of quantitative structure-activity analysis, which resulted in 512 virtual hits for further confirmatory screening. A subsequent SARS-CoV-2 replication assay revealed that five of these compounds inhibit SARS-CoV-2 replication in human cells. Further effort is required to completely determine the antiviral mechanism of these compounds, but they serve as a strong starting point for both development of acute treatments for COVID-19 and research into the mechanism of infection.",Please summerize the given abstract to a title
