input,output,instruction
When to seek urgent medical care when I have Paranoid personality disorder ?,"If suspicions are interfering with your relationships or work, contact a health care provider or mental health professional.",Answer this question truthfully
What causes shock?,"There are several kinds of shock. Hypovolemic shock happens when you lose a lot of blood or fluids. Causes include internal or external bleeding, dehydration, burns, and severe vomiting and/or diarrhea. Septic shock is caused by infections in the bloodstream. A severe allergic reaction can cause anaphylactic shock. An insect bite or sting might cause it. Cardiogenic shock happens when the heart cannot pump blood effectively. This may happen after a heart attack. Neurogenic shock is caused by damage to the nervous system.",Answer this question truthfully
What are the symptoms of Dyslexia?,"A person with DRD may have trouble rhyming and separating sounds that make up spoken words. These abilities appear to be critical in the process of learning to read. A child's initial reading skills are based on word recognition, which involves being able to separate out the sounds in words and match them with letters and groups of letters.
Because people with DRD have difficulty connecting the sounds of language to the letters of words, they may have difficulty understanding sentences.
True dyslexia is much broader than simply confusing or transposing letters, for example mistaking ”b” and “d."".
In general, symptoms of DRD may include:
Difficulty determining the meaning (idea content) of a simple sentence
Difficulty learning to recognize written words
Difficulty rhyming
DRD may occur in combination with writing or math learning problems.",Answer this question truthfully
When to seek urgent medical care when I have Angina pectoris ?,"People with cardiovascular diseases family history or bad life-style should go to the doctor to follow-up. When one has the following symptoms, he/she need to seek urgent medical care:
Persistent and severe chest pain Sudden drop in blood pressure Shortness of breath Angina or chest pain accompanying with sweating or nausea or discomfort in shoulders, arms, jaws, neck or abdomen
These symptoms suggest that the person need to go to hospital to verify whether there are acute coronary syndrome (ACS) or not.",Answer this question truthfully
What causes (condition)?,"Simple causes of knee pain often clear up on their own with self care. Being overweight can put you at greater risk for knee problems.
Knee pain can be caused by:
Anterior knee pain Arthritis -- including rheumatoid arthritis, osteoarthritis, and gout Baker's cyst -- a fluid-filled swelling behind the knee that may occur with swelling (inflammation) from other causes, like arthritis Bursitis -- inflammation from repeated pressure on the knee, such as kneeling for long periods of time, overuse, or injury Connective tissue disorders such as lupus Dislocation of the kneecap Iliotibial band syndrome -- a hip disorder from injury to the thick band that runs from your hip to the outside of your knee Infection in the joint Knee injuries -- an anterior cruciate ligament injury or medial collateral ligament injury may cause bleeding into your knee, which makes the pain worse Osgood-Schlatter disease Tendinitis -- a pain in the front of your knee that gets worse when going up and down stairs or inclines Torn cartilage (a meniscus tear) -- pain felt on the inside or outside of the knee joint Torn ligament (ACL tear) -- leads to pain and instability of the knee Strain or sprain -- minor injuries to the ligaments caused by sudden or unnatural twisting Less common conditions that can lead to knee pain include bone tumors.",Answer this question truthfully
Who is at risk for Hirschsprung's disease?,"Risk Factors include:
Gender (i.e., higher risk in males than females) Congenital condition (e.g., Down Syndrome).",Answer this question truthfully
What causes fibroadenoma?,The exact cause of fibroadenoma is unknown. It is believed that it may be related to the tissues in the breast being extra sensitive to the hormone estrogen.,Answer this question truthfully
What causes Rhabdomyolysis?,"When muscle is damaged, a protein pigment called myoglobin is released into the bloodstream and filtered out of the body by the kidneys. Myoglobin breaks down into potentially harmful compounds. It may block the structures of the kidney, causing damage such as rhabdomyolysis or kidney failure.
Dead muscle tissue may cause a large amount of fluid to move from the blood into the muscle, reducing the fluid volume of the body and leading to shock and reduced blood flow to the kidneys.
The disorder may be caused by any condition that results in damage to skeletal muscle, especially trauma.",Answer this question truthfully
What are the symptoms of Encopresis?,Inability to retain feces (bowel incontinence) Passing stool in inappropriate places (generally in the child's clothes) Secretive behavior associated with bowel movements Constipation and hard stools Occasional passage of very large stool that almost blocks up the toilet,Answer this question truthfully
What causes Pre eclampsia?,"The exact cause of preeclampsia is not known.
Possible causes include:
Autoimmune disorders Blood vessel problems Diet Genes
Preeclampsia occurs in a small percentage of pregnancies.",Answer this question truthfully
What to expect if I have Zygomycosis  (Outlook/Prognosis)?,Zygomycosis has an extremely high death rate even when aggressive surgery is done. Death rates range from 25 - 85% depending on the body area involved and your overall health.,Answer this question truthfully
When to seek urgent medical care when I have Neonatal jaundice ?,"All babies should be seen by a health care provider in the first 5 days of life to check for jaundice.
Those who spend less than 24 hours in a hospital should be seen by age 72 hours. Infants sent home between 24 and 48 hours should be seen again by age 96 hours. Infants sent home between 48 and 72 hours should be seen again by age 120 hours.
Jaundice is an emergency if the baby has a fever, has become listless, or is not feeding well. Jaundice may be dangerous in high-risk newborns.
Jaundice is generally NOT dangerous in term, otherwise healthy newborns. Call the infant's health care provider if:
Jaundice is severe (the skin is bright yellow) Jaundice continues to increase after the newborn visit, lasts longer than 2 weeks, or other symptoms develop The feet, especially the soles, are yellow",Answer this question truthfully
When to seek urgent medical care when I have Otitis externa ?,Ear pain does not subside after several weeks. Hearing loss becomes severe. Fever or flu -symptoms develop. It becomes difficult to swallow or to move the neck or jaw. It becomes difficult to breathe. Dizziness develops.,Answer this question truthfully
What to expect if I have Morton%27s neuroma  (Outlook/Prognosis)?,Non surgical treatment does not always improve symptoms. Surgery to remove the thickened tissue is successful in about 85% of cases.,Answer this question truthfully
When to seek urgent medical care when I have Heart attack ?,"You should seek medical care if you are experiencing chest discomfort or chest pain, upper body discomfort in one or both arms, the back, neck, jaw, or stomach, shortness of breath, nausea, vomiting, lightheadedness or fainting, or breaking out in a cold sweat.",Answer this question truthfully
How do I upload a file to the site so it can be downloaded by others?,"First, click on upload file on the toolbox menu to upload the file from your computer to WikiDoc.
Put two square brackets on either side of the file's name to create a link to it so that it can be downloaded like this:
Example: You have uploaded a file named DSMB charter.doc
To create the link, you simply type:",Answer this question truthfully
What precautions should I take?,"Most machines and devices will not interfere with your pacemaker. But some with strong magnetic fields may. Always ask your doctor or nurse about any specific device that you need to avoid. Do not put a magnet near your pacemaker. Most appliances in your home are safe to be around. This includes your refrigerator, washer, dryer, toaster, blender, computers and fax machines, hair dryer, stove, CD player, remote controls, and microwave. You should keep several devices at least 12 inches away from the site where the pacemaker is placed under your skin. These include:
Battery powered cordless tools (such as screwdrivers and drills). Plug-in power tools (such as drills and table saws). Electric lawn mowers and leaf blowers. Slot machines. Stereo speakers.
Tell all health care providers that you have a pacemaker before any tests are done. Some medical equipment may interfere with your pacemaker. Stay away from large motors, generators, and equipment. Do not lean over the open hood of a car that is running. Also stay away from:
Radio transmitters and high-voltage power lines. Products that use magnetic therapy, such as some mattresses, pillows, and massagers. Large electrical or gasoline powered appliances.
If you have a cell phone:
Do not put it in a pocket on the same side of your body as your pacemaker. When using your cell phone, hold it to your ear on the opposite side of your body.
Be careful around metal detectors and security wands.
Handheld security wands may interfere with your pacemaker. Show your wallet card and ask to be hand searched. Most security gates at airports and stores are okay. But do not stand near these devices for long periods. Your pacemaker may set off alarms.
After any operation, have your doctor check your pacemaker.",Answer this question truthfully
What are the symptoms of Atrioventricular canal defect?,"Symptoms associated with an atrioventricular canal defect depend largely on the type of defect: partial or complete. A partial atrioventricular canal defect involves a malformation of the upper two chambers of the heart only. A complete atrioventricular canal defect is a malformation that allows blood to freely circulate amongst all four of the heart's chambers. In both partial and complete defects there is an increased, extra amount of blood that circulates to the lungs.
Complete atrioventricular canal defect: Signs/symptoms of a complete defect usually present within the first few weeks of life. Common symptoms include:
Poor appetite Difficulty gaining weight Blue discoloring of the skin (cyanosis) Difficulty breathing/respiratory distress Heart failure (signs include: wheezing, swelling of the legs, ankles, and feet, excessive sweating, sudden gaining of eight, irregular/fast heartbeat)
Partial atrioventricular canal defect: Signs/symptoms of a partial defect usually are asymptomatic (meaning without symptoms) until much later in life into adulthood. Common symptoms include:
An abnormal heart rhythm/heartbeat (arrhythmia) Heart failure High blood pressure, specifically within the lungs (pulmonary hypertension)",Answer this question truthfully
What causes Tricuspid prolapse?,"The tricuspid valve separates the right lower heart chamber (the right ventricle) from the right upper heart chamber (right atrium).
The most common cause of tricuspid prolapse is swelling of the right ventricle. Such swelling may be a complication of any disorder that causes failure of the right ventricle, such as rheumatic fever, lung diseases such as emphysema.
Tricuspid prolapse may be found in those with infections, birth defects that cause the valves to be floppy and not function correctly.
Degenerative process in the valve can also cause the valve to slip out of place and not function properly.",Answer this question truthfully
What are the symptoms of an Eyelid twitch?,"In addition to having repetitive, uncontrollable twitching or spasms of your eyelid (usually the upper lid), you may be very sensitive to light or have blurry vision.",Answer this question truthfully
What are the symptoms of Pemphigoid?,"Some people may have no symptoms, others may have mild redness and irration.
In severe cases, they are multiple blisters, called bullae. The blisters are usually located on the arms, legs, or middle of the body. About one-third of persons with bullous pemphigoid also develop blisters in the mouth. The blisters may break open and form ulcers or open sores.
Other symptoms may include:
Itching Rashes Mouth sores Bleeding gums",Answer this question truthfully
When to seek urgent medical care when I have Bedwetting ?,"Be sure to mention bedwetting to your child's health care provider.
Children should have a physical exam and a urine test to rule out urinary tract infection or other causes.
If your child is having pain with urination, fever, or blood in the urine, contact your child's doctor right away.",Answer this question truthfully
What causes Intraventricular hemorrhage?,"Infants born before 30 weeks of pregnancy are at highest risk for such bleeding. The smaller and more premature the infant, the higher the risk for IVH. This is because blood vessels in the brain of premature infants are not yet fully developed and are extremely fragile. The blood vessels grow stronger after 30 weeks of pregnancy.
IVH is more common in premature babies who have had respiratory distress syndrome, high blood pressure, and other conditions. The condition may also occur in healthy premature babies who were born without injury. IVH may develop in full-term babies, but this is very uncommon.
IVH is rarely present at birth. If it occurs, it will usually be in the first several days of life. The condition is quite rare after 1 month of age, no matter how early the baby was born.
IVH falls into four groups, called grades. The higher the grade, the more severe the bleeding.
Grades 1 and 2 involve a small amount of bleeding and do not usually cause long-term problems. Grades 3 and 4 involve more severe bleeding, which presses on or leaks into brain tissue. Blood clots can form and block the flow of cerebrospinal fluid, leading to increased fluid in the brain (hydrocephalus).",Answer this question truthfully
What to expect if I have Granulocytic sarcoma  (Outlook/Prognosis)?,Prognosis of granulocytic sarcoma is poor.,Answer this question truthfully
Where do I type in the references?,"Usually you would type a number in the text like this (1) or this 1 which refers to a reference you would like to cite. You would then type in the reference at the end of the article. This is not the preferred method in WikiDoc.
WikiDoc features an automated reference manager. The advantages of this reference manager are that:
The references are numbered automatically! When you move the text, the reference moves with it! You can click on the reference and go directly to the article!
Unlike the usual format where you type in the references at the end of the article, when you use the WikiDoc reference manager, you insert code for the reference right after the material you want to add a reference to. You use a software program to add in the references. The next section describes how to use the software program.",Answer this question truthfully
Who is at highest risk for Turner syndrome ?,Turner syndrome is a genetic condition that only occurs in females. Females with a family history of Turner syndrome are at risk.,Answer this question truthfully
What to expect if I have Achondroplasia  (Outlook/Prognosis)?,"People with achondroplasia seldom reach 5 feet in height. Intelligence is in the normal range.
Dwarfism itself is not a disease. However, there is a greater risk of some health problems for people affected by Dwarfism. With proper medical care, most people with dwarfism have active lives and live as long as other people.
Infants who receives the abnormal gene from both parents do not often live beyond a few months.",Answer this question truthfully
Who is at highest risk for Congenital heart disease ?,"Individuals at an increased risk for congenital heart disease include:
People with a family history of congenital heart disease Babies born to mothers who: Drink during pregnancy Use recreational drugs Use certain prescriptions and over-the-counter medications dangerous to fetal development Fail to get proper prenatal care",Answer this question truthfully
What are the symptoms of Pelvic inflammatory disease?,"The most common symptoms of PID include:
Fever (not always present; may come and go) Pain or tenderness in the pelvis, lower abdomen, or sometimes the lower back Vaginal discharge with abnormal color, texture, or smell
Other symptoms that may occur with PID:
Bleeding after intercourse Chills Fatigue Frequent or painful urination Increased menstrual cramping Irregular menstrual bleeding or spotting Lack of appetite Nausea, with or without vomiting No menstruation Painful sexual intercourse
Note: There may be no symptoms. People who experience an ectopic pregnancy or infertility often have had silent PID, which is usually caused by chlamydia infection.",Answer this question truthfully
What to expect if I have Acute respiratory distress syndrome  (Outlook/Prognosis)?,"About a third of people with ARDS die from the disease. Survivors usually get back normal lung function, but many people have permanent, usually mild, lung damage. Many people who survive ARDS have memory loss or other problems with thinking after they recover. This is due to brain damage that occurred when the lungs weren't working properly and the brain wasn't getting enough oxygen.",Answer this question truthfully
What to expect if I have Tooth abscess  (Outlook/Prognosis)?,"Untreated abscesses may get worse and can lead to life-threatening complications.
Prompt treatment usually cures the infection. The tooth can usually be saved in many cases.",Answer this question truthfully
What are the symptoms of hyperinsulinism?,"Insulin may decrease your blood sugar. Patients with hyperinsulinism may show symptoms as following:
Hunger Sweating Weakness Palpitations Diplopia, blurred vision Headache, dizziness Emotional instability, anxiety Confusion, stupor, even seizures, or coma and death.
Other health problems may also cause these symptoms. Only a doctor can tell for sure. A person with any of these symptoms should tell the doctor so that the problems can be diagnosed and treated as early as possible.",Answer this question truthfully
When to seek urgent medical care when I have Epididymoorchitis ?,All testicle abnormalities should be medically evaluated. Call the local emergency number (such as 911) or go to the nearest emergency room if you experience sudden pain in the testicle.,Answer this question truthfully
What to expect if I have Cerebral hypoxia  (Outlook/Prognosis)?,"The outlook depends on the extent of the brain injury. This is determined by how long the brain lacked oxygen, and whether nutrition to the brain was also affected.
If the brain lacked oxygen for only a very brief period of time, a coma may be reversible and the person may have a full or partial return of function. Some patients recover many functions, but have abnormal movements such as twitching or jerking, called myoclonus. Seizures may sometimes occur, and may be continuous (status epilepticus).
Most people who make a full recovery were only briefly unconscious. The longer a person is unconscious, the higher the risk for death or brain death, and the lower the chances of recovery.",Answer this question truthfully
What are the symptoms of Hearing impairment?,"Symptoms of hearing loss may include:
Certain sounds seem too loud Difficulty following conversations when two or more people are talking Difficulty hearing in noisy areas Hard to tell high-pitched sounds (such as ""s"" or ""th"") from one another Less trouble hearing men's voices than women's voices Problems hearing when there is background noise Voices that sound mumbled or slurred
Other symptoms include:
Feeling of being off-balance or dizzy (more common with Meniere's disease and acoustic neuroma) Pressure in the ear (in fluid behind the eardrum) Ringing or buzzing sound in the ears (tinnitus)",Answer this question truthfully
What to expect if I have Atrial fibrillation  (Outlook/Prognosis)?,"The disorder is usually controllable with treatment. Many people with atrial fibrillation do very well.
Atrial fibrillation tends to become a chronic condition, however, it may relapse even with treatment.",Answer this question truthfully
Who is at highest risk for Achlorhydria ?,"Prior gastric bypass surgery Chronic gastric H pylori infection Chronic proton pump inhibitor (PPI) use Autoimmune conditions, such as diabetes, autoimmune thyroid disease. Elderly individuals",Answer this question truthfully
What causes Hyperandrogenism?,"In healthy women, the ovaries and adrenal glands produce about 40 - 50% of the body's testosterone. Both tumors of the ovaries and polycystic ovary syndrome (PCOS) can cause excess androgen production.
Cushing's disease, an abnormality in the pituitary gland, causes excess amounts of corticosteroids, which cause masculine body changes in women. Also, tumors in the adrenal glands can cause overproduction of androgens and lead to male body characteristics in women.",Answer this question truthfully
Who is at highest risk for Cleft lip and palate ?,"Risk factors include:
a family history of cleft lip or palate other birth defect
About 1 out of 2,500 people have a cleft palate.",Answer this question truthfully
What to expect if I have Urea cycle disorder  (Outlook/Prognosis)?,"How well patients do depends on:
Which urea cycle abnormality they have How severe it is How early it is discovered How closely they follow a protein-restricted diet
Babies diagnosed in the first week of life and put on a protein-restricted diet right away do well.
Sticking to the diet can lead to normal adult intelligence. Repeatedly not following the diet or having stress-induced symptoms can lead to brain swelling and brain damage.
Major stresses, such as surgery or accidents, can be complicated for these patients. Extreme care is needed to avoid problems during such periods.",Answer this question truthfully
When to seek urgent medical care when I have Wilson%27s disease ?,Call your health care provider if you have symptoms of Wilson's disease. Call a genetic counselor if you have a history of Wilson's disease in your family and you are planning to have children.,Answer this question truthfully
When to seek urgent medical care when I have Pressure ulcer ?,"Contact your health care provider if an area of the skin blisters or forms an open sore. Contact the provider immediately if there are any signs of an infection. An infection can spread to the rest of the body and cause serious problems. Signs of an infected ulcer include:
A foul odor from the ulcer Redness and tenderness around the ulcer Skin close to the ulcer is warm and swollen
Fever, weakness, and confusion are signs that the infection may have spread to the blood or elsewhere in the body.",Answer this question truthfully
What causes Insulinoma?,"The pancreas is an organ in the abdomen that makes several enzymes and hormones, including the hormone insulin. Insulin's job is to reduce the level of sugar (glucose) in the blood by helping it move into cells.
Most of the time when your blood sugar level drops too low, the pancreas stops making insulin until your blood sugar returns to normal. Tumors of the pancreas that produce too much insulin are called insulinomas. Insulinomas keep making insulin, even when your blood sugar drops too low.
High blood insulin levels cause low blood sugar levels (hypoglycemia). Hypoglycemia may be mild, leading to symptoms such as anxiety and hunger. Or it can be severe, leading to seizures, coma, and even death.
Insulinomas are rare tumors. They usually occur as single, small tumors in adults.
These tumors are very rare in children. Most children with high blood insulin levels have many areas of overactive insulin-releasing cells in the pancreas, instead of a single tumor.
Taking medications that cause too much insulin in the blood, either accidentally or on purpose, is about as common as insulinoma.
More than 90% of insulinomas are non-cancerous (benign) tumors. People with the genetic syndrome called multiple endocrine neoplasia type I are at risk for insulinomas and other endocrine tumors.",Answer this question truthfully
What to expect if I have Corns %26 calluses  (Outlook/Prognosis)?,"Corns and calluses are rarely serious. If treated properly, they should improve without causing long-term problems.",Answer this question truthfully
What are the symptoms of Palpitation?,"Normally the heart beats 60 - 100 times per minute. In people who exercise routinely or take medications that slow the heart, the rate may drop below 55 beats per minute.
If your heart rate is fast (over 100 beats per minute), this is called tachycardia. A slow heart rate is called bradycardia. An occasional extra heartbeat is known as extrasystole.
Palpitations are usually not serious. However, it depends on whether or not the sensations represent an abnormal heart rhythm (arrhythmia).
The following conditions make you more likely to have an abnormal heart rhythm:
Known heart disease at the time the palpitations begin Significant risk factors for heart disease An abnormal heart valve An electrolyte abnormality in your blood (for example, a low potassium level)",Answer this question truthfully
Who is at highest risk for Traveler%27s diarrhea ?,"The most important determinant of risk is travel destination, and there are regional differences in both the risk for and etiology of diarrhea. The world is generally divided into 3 grades of risk: low, intermediate, and high.
Low-risk countries include the United States, Canada, Australia, New Zealand, Japan, and countries in Northern and Western Europe. Intermediate-risk countries include those in Eastern Europe, South Africa, and some of the Caribbean islands. High-risk areas include most of Asia, the Middle East, Africa, Mexico, and Central and South America.",Answer this question truthfully
What causes Viral gastroenteritis?,"Viral gastroenteritis is a leading cause of severe diarrhea in both adults and children. Many types of viruses can cause gastroenteritis. The most common ones are:
Astrovirus Enteric adenovirus Norovirus (also called Norwalk-like virus). It is common among school-age children. Rotavirus, the leading cause of severe gastroenteritis in children. It can also infect adults exposed to children with the virus. Outbreaks may also occur in nursing homes. These viruses are often found in contaminated food or drinking water. Symptoms of viral gastroenteritis usually appear within 4 - 48 hours after exposure to the contaminated food or water.
Those with the highest risk for severe gastroenteritis include the young, the elderly, and people who have suppressed immune systems.",Answer this question truthfully
What are the symptoms of Kidney stone?,"The main symptom is severe pain that starts suddenly and may go away suddenly:
Pain may be felt in the belly area or side of the back Pain may move to groin area (groin pain) or testicles (testicle pain)
Other symptoms can include:
Abnormal urine color Blood in the urine Chills Fever Nausea Vomiting",Answer this question truthfully
What causes Blepharitis?,"Blepharitis is caused by an overgrowth of the bacteria that is normally found on the skin. It is usually due to seborrheic dermatitis or a bacterial infection. Both may occur at the same time.
The cause is overgrowth of the bacteria that is normally found on the skin.
Allergies and lice that affects the eyelashes may also cause blepharitis, although these causes are less common.
People who have blepharitis have too much oil being produced by the glands near the eyelid. This allows bacteria normally found on the skin to overgrow.",Answer this question truthfully
When to seek urgent medical care when I have Cat scratch fever ?,Call your health care provider if you have enlarged lymph nodes and a history of exposure to a cat.,Answer this question truthfully
What to expect if I have Bicuspid aortic stenosis  (Outlook/Prognosis)?,"How well the baby does depends on whether complications of bicuspid aortic valve are present, and how severe they are.
The presence of other physical problems at birth also can affect how well a baby does.
Most babies with this condition have no symptoms, and the problem is not diagnosed until they are adults. Some people never find out that they have this problem.",Answer this question truthfully
Who is at highest risk for Paraganglioma ?,"Usually, there are no known risk factors. Paraganglioma have been associated with changes (mutations) in a gene responsible for the enzyme succinate dehydrogenase (SDHD).",Answer this question truthfully
What to expect if I have Diabetic coma  (Outlook/Prognosis)?,"Left untreated, a diabetic coma can be fatal. Prognosis of diabetic coma depends on whether the patient is treated promptly and properly.",Answer this question truthfully
What causes Spontaneous bacterial peritonitis?,"Spontaneous peritonitis is usually caused by ascites, a collection of fluid in the peritoneal cavity. This usually occurs from liver or kidney failure. Risk factors for liver disease include alcoholic cirrhosis and other diseases that lead to cirrhosis, such as viral hepatitis (Hepatitis B or C). Spontaneous peritonitis also occurs in patients who are on dialysis for kidney failure.",Answer this question truthfully
What causes Silicosis?,"Silica is a common, naturally-occurring crystal. It is found in most rock beds and forms dust during mining, quarrying, tunneling, and working with many metal ores. Silica is a main part of sand, so glass workers and sand-blasters are also exposed to silica.
Three types of silicosis exist:
Simple chronic silicosis -- results from long-term exposure (more than 20 years) to low amounts of silica dust. Swellings caused by the silica dust form in the lungs and chest lymph nodes. This disease may cause people to have trouble breathing.
Accelerated silicosis -- occurs after exposure to larger amounts of silica over a shorter period of time (5 - 15 years). Swelling in the lungs and symptoms occur faster than in simple silicosis.
Acute silicosis -- results from short-term exposure to very large amounts of silica. The lungs become very inflamed and can fill with fluid, causing severe shortness of breath and low blood oxygen levels.
Progressive massive fibrosis can occur in either simple or accelerated silicosis, but is more common in the accelerated form. Progressive massive fibrosis is caused by severe scarring and destroys normal lung structures.
Intense exposure to silica can cause disease within a year, but it usually takes at least 10 - 15 years of exposure before symptoms occur. Silicosis has become less common since the Occupational Safety and Health Administration (OSHA) created regulations requiring the use of protective equipment, which limits the amount of silica dust workers inhale.",Answer this question truthfully
What are the symptoms of IgA nephropathy?,"There may be no symptoms for many years.
Symptoms include:
Bloody urine that starts during or soon after a respiratory infection Repeated episodes of dark or bloody urine Hand and feet swelling Symptoms of chronic kidney disease",Answer this question truthfully
Who is at highest risk for Hyperosmolar hyperglycemic state ?,"Elderly patients with type 2 diabetes who have decreased access to fluids or any condition that limits fluid intake or during an illness such as pneumonia, heart attack, stroke or pregnancy are at highest risk for the hyperosmolar hyperglycemic state. This condition has also been seen in type 1 diabetes, children, and young adults, but less common.",Answer this question truthfully
What are the causes of Papilloma?,The causes of papilloma are unknown.,Answer this question truthfully
Who is at highest risk for  hyperthyroidism?,Graves’ disease Thyroid nodules Thyroiditis Too much iodine ingestion Over-medicating with synthetic thyroid hormone,Answer this question truthfully
What are the symptoms of Schwannoma?,"The symptoms vary based on the size and location of the tumor. Because the tumors grow so slowly, symptoms usually start after the age of 30.
Common symptoms include:
Abnormal sensation of movement (vertigo) Hearing loss in the affected ear Ringing (tinnitus) in the affected ear
Less common symptoms include:
Difficulty understanding speech Dizziness Headache
o Upon waking up in the morning o Wakes you from sleep o Worse when lying down o Worse when standing up o Worse when coughing, sneezing, straining, or lifting (Valsalva maneuver) o With nausea or vomiting
Loss of balance Numbness in the face or one ear Pain in the face or one ear Vision abnormalities that are temporary Weakness of the face",Answer this question truthfully
What to expect if I have Membranous glomerulonephritis  (Outlook/Prognosis)?,"The outlook varies. There may be symptom-free periods and acute flare ups. In some cases, the condition may go away with or without therapy.
The majority of patients will have some degree of irreversible kidney damage within 2-20 years. About 20% of those will progress to end-stage renal disease.",Answer this question truthfully
Who is at highest risk for Thyroid adenoma ?,People with positive family history of thyroid adenoma are at highest risk of thyroid adenoma.,Answer this question truthfully
When to seek urgent medical care when I have Asbestosis ?,Call for an appointment with your health care provider if you suspect that you've been exposed to asbestos or if you have unexplained symptoms.,Answer this question truthfully
Who is at highest risk for Heart murmur ?,"Family history of a heart defect. Uncontrolled high blood pressure (hypertension). Infection of the lining of the heart (endocarditis),
Factors that increase your baby's risk of developing a heart murmur include: Illnesses during pregnancy. such as uncontrolled diabetes or a rubella infection. Taking certain medications or illegal drugs during pregnancy.",Answer this question truthfully
What are the symptoms of Myelofibrosis?,Abdominal fullness related to an enlarged spleen Bone pain Bruising Easy bleeding Fatigue Increased likelihood of getting an infection Pallor Shortness of breath with exercise Weight loss Loss of appetite Night sweats Fever Early satiety Bleeding Peripheral swelling Frequent infections Dry cough Skin nodules Itchy skin,Answer this question truthfully
What causes Acute low back pain?,"If you are like most people, you will have at least one backache in your life. While such pain or discomfort can happen anywhere in your back, the most common area affected is your low back. This is because the low back supports most of your body's weight.
Low back pain is the number two reason that Americans see their doctor-- second only to colds and flus. Many back-related injuries happen at work. But you can change that. There are many things you can do to lower your chances of getting back pain.
You'll usually first feel back pain just after you lift a heavy object, move suddenly, sit in one position for a long time, or have an injury or accident. But before that injury or accident, the structures in your back were losing strength or changing.
Acute low back pain is most often caused by a sudden injury to the muscles, ligaments, bones, and nerves in the spine. The source of the pain may be:
Compression fractures to the spine from osteoporosis Muscle spasm (very tense muscles that remain contracted) Ruptured or herniated disk Spinal stenosis (narrowing of the spinal canal) Spine curvatures (like scoliosis or kyphosis), which may be inherited and seen in children or teens Strain or tears to the muscles or ligaments supporting the back
Back pain may also be due to:
An abnormal aortic aneurysm that is leaking Arthritis conditions, such as osteoarthritis, psoriatic arthritis, and rheumatoid arthritis Cancer that involves the spine Fibromyalgia Infection of the spine (osteomyelitis, diskitis, abscess) Kidney infection or kidney stones Problems related to pregnancy Medical conditions that affect the female reproductive organs, including endometriosis, ovarian cysts, ovarian cancer, or uterine fibroids",Answer this question truthfully
Who is at highest risk for Breast cancer ?,"No one knows the exact causes of breast cancer. Doctors often cannot explain why one woman develops breast cancer and another does not. They do know that bumping, bruising, or touching the breast does not cause cancer. And breast cancer is not contagious. You cannot ""catch"" it from another person.
Research has shown that women with certain risk factors are more likely than others to develop breast cancer. A risk factor is something that may increase the chance of developing a disease.
Age: The chance of getting breast cancer goes up as a woman gets older. Most cases of breast cancer occur in women over 60. This disease is not common before menopause.
Personal history of breast cancer: A woman who had breast cancer in one breast has an increased risk of getting cancer in her other breast.
Family history: A woman's risk of breast cancer is higher if her mother, sister, or daughter had breast cancer. The risk is higher if her family member got breast cancer before age 40. Having other relatives with breast cancer (in either her mother's or father's family) may also increase a woman's risk.
Certain breast changes: Some women have cells in the breast that look abnormal under a microscope. Having certain types of abnormal cells (atypical hyperplasia and lobular carcinoma in situ LCIS) increases the risk of breast cancer.
Gene changes: Changes in certain genes increase the risk of breast cancer. These genes include BRCA1, BRCA2, and others. Tests can sometimes show the presence of specific gene changes in families with many women who have had breast cancer. Health care providers may suggest ways to try to reduce the risk of breast cancer, or to improve the detection of this disease in women who have these changes in their genes. NCI offers publications on gene testing.
Reproductive and menstrual history: The older a woman is when she has her first child, the greater her chance of breast cancer. Women who had their first menstrual period before age 12 are at an increased risk of breast cancer. Women who went through menopause after age 55 are at an increased risk of breast cancer. Women who never had children are at an increased risk of breast cancer. Women who take menopausal hormone therapy with estrogen plus progestin after menopause also appear to have an increased risk of breast cancer. Large, well-designed studies have shown no link between abortion or miscarriage and breast cancer.
Race: Breast cancer is diagnosed more often in white women than Latina, Asian, or African American women.
Radiation therapy to the chest: Women who had radiation therapy to the chest (including breasts) before age 30 are at an increased risk of breast cancer. This includes women treated with radiation for Hodgkin's lymphoma. Studies show that the younger a woman was when she received radiation treatment, the higher her risk of breast cancer later in life.
Breast density: Breast tissue may be dense or fatty. Older women whose mammograms (breast x-rays) show more dense tissue are at increased risk of breast cancer.
Taking DES (diethylstilbestrol): DES was given to some pregnant women in the United States between about 1940 and 1971. (It is no longer given to pregnant women.) Women who took DES during pregnancy may have a slightly increased risk of breast cancer. The possible effects on their daughters are under study.
Being overweight or obese after menopause: The chance of getting breast cancer after menopause is higher in women who are overweight or obese.
Lack of physical activity: Women who are physically inactive throughout life may have an increased risk of breast cancer. Being active may help reduce risk by preventing weight gain and obesity.
Drinking alcohol: Studies suggest that the more alcohol a woman drinks, the greater her risk of breast cancer.",Answer this question truthfully
What are the symptoms of Strabismus?,"Symptoms of strabismus may be present all the time, or only when you are tired or sick.
The eyes do not move together and may appear crossed at times.
The other eye will appear turned out, up, or down from wherever the first eye is focused.
Someone with strabismus may also have:
Depth perception loss Double vision Vision loss",Answer this question truthfully
What are the symptoms of dermatitis herpetiformis?,"Dermatitis herpetiformis is usually extremely itchy. The bumps or blisters usually appear on the elbows, knees, back, and buttocks. In most cases, the rash is the same size and shape on both sides. Symptoms of dermatitis herpetiformis tend to come and go.",Answer this question truthfully
