input,Correct Answer,Correct Option,source
"The term gene doping refers to:

A. the use of drugs to modify gene transcription.
B. the use of genetic manipulation techniques to enhance performance in sport.
C. the activation or inhibition of genes to mask drug taking by athletes.
D. the use of drugs to modify the myostatin gene.",the use of genetic manipulation techniques to enhance performance in sport.,B,Clinical Knowledge
"A 2-week-old newborn is brought to the physician because his lips have turned blue on three occasions during feeding; he also sweats during feeding. He was born at 38 weeks' gestation and weighed 2466 g (5 lb 7 oz); he currently weighs 2778 g (6 lb 2 oz). His temperature is 37.8°C (100°F), pulse is 170/min, respirations are 44/min, and blood pressure is 75/45 mm Hg. A grade 3/6 harsh systolic ejection murmur is heard at the left upper sternal border. An x-ray of the chest shows a small boot-shaped heart and decreased pulmonary vascular markings. Which of the following is the most likely diagnosis?

A. Anomalous coronary vessels
B. Atrial septal defect
C. Endocardial fibroelastosis
D. Tetralogy of Fallot",Tetralogy of Fallot,D,Professional Medicine
"A 47-year-old man is brought to the emergency department 2 hours after the sudden onset of shortness of breath, severe chest pain, and sweating. He has no history of similar symptoms. He has hypertension treated with hydrochlorothiazide. He has smoked one pack of cigarettes daily for 30 years. His pulse is 110/min, respirations are 24/min, and blood pressure is 110/50 mm Hg. A grade 3/6, diastolic blowing murmur is heard over the left sternal border and radiates to the right sternal border. Femoral pulses are decreased bilaterally. An ECG shows left ventricular hypertrophy. Which of the following is the most likely diagnosis?

A. Acute myocardial infarction
B. Aortic dissection
C. Esophageal rupture
D. Mitral valve prolapse",Aortic dissection,B,Professional Medicine
"A 64-year-old female presents to the office with the complaint of difficulty swallowing saliva for about 6 months. She has slurred speech. Examination of the tongue reveals wasting and fasciculation. Decreased deep tendon reflexes and fasciculation are noted in the left lower extremity. The deep tendon reflexes of the left upper extremity are hyperactive. The most likely diagnosis is

A. amyotrophic lateral sclerosis
B. Friedreich ataxia
C. Pick disease
D. progressive multifocal leukoencephalopathy",amyotrophic lateral sclerosis,A,Professional Medicine
"Dopamine is prescribed at a rate of 4 micrograms/kg/min. For a 65 kg person, how many milligrams will they receive in an hour?

A. 156
B. 15.6
C. 1.56
D. 15600",15.6,B,Clinical Knowledge
"During an inferior alveolar nerve block the needle ideally passes

A. posterior and medial to medial pterygoid.
B. anterior and lateral to medial pterygoid.
C. through medial pterygoid.
D. inferior to medial pterygoid.",anterior and lateral to medial pterygoid.,B,Anatomy
"The patient's self-report of pain is important because health care staff:

A. can overestimate the intensity of the patient's pain.
B. underestimate the intensity of the patient's pain.
C. do not possess an objective way of assessing pain.
D. can use the information to prescribe and administer the least possible amount of pain relief.",do not possess an objective way of assessing pain.,C,Clinical Knowledge
"Which of the following best describes the process whereby the stomach muscles contract to propel food through the digestive tract?

A. Absorption
B. Emulsion
C. Peristalsis
D. Regurgitation",Peristalsis,C,Anatomy
"A 37-year-old woman with AIDS comes to the physician because of a 1-month history of progressive diarrhea and a 1.8- kg (4-lb) weight loss. During the past week, she has had six large watery stools daily. She is currently receiving triple antiretroviral therapy. She is employed as a flight attendant and works regularly on domestic flights throughout the USA. She also flies to Asia at least once monthly. She is 163 cm (5 ft 4 in) tall and weighs 59 kg (130 lb); BMI is 22 kg/m2 . Her temperature is 37°C (98.6°F), pulse is 88/min, and blood pressure is 112/64 mm Hg. The abdomen is scaphoid. The remainder of the examination shows no abnormalities. Her CD4+ T-lymphocyte count is 400/mm3 (Normal≥500). Which of the following is the most likely causal organism?

A. Cryptosporidium parvum
B. Cytomegalovirus
C. Mycobacterium avium-intracellulare complex
D. Salmonella enteritidis",Cryptosporidium parvum,A,Professional Medicine
"Which of the following is the same strength as Adrenaline 1 in 1000? Choose one answer from the following:

A. 1 mg/mL
B. 1 mg/L
C. 1 g/mL
D. 100 micrograms/mL",1 mg/mL,A,Clinical Knowledge
"A 13-year-old girl is brought to the office for a health maintenance visit. She was diagnosed with Turner syndrome in infancy during a work-up for coarctation of the aorta. During today's visit, her mother reports that the girl has been talking about babies. You have been the patient's physician for the past 6 years and know she is prepubescent. It is most appropriate to counsel the patient that if she wishes to have a family she will need to do which of the following?

A. Adopt
B. Have amniocentesis if she gets pregnant
C. Have an operation
D. Receive genetic counseling",Adopt,A,Professional Medicine
"A surgical support can be used for:

A. prolapsed stomas.
B. high output stomas.
C. herniation around the stoma.
D. retraction of the stoma.",herniation around the stoma.,C,Clinical Knowledge
"Why might a patient need a tracheostomy?

A. To repair vocal cords after paralysis.
B. To aid swallowing.
C. As an aid to weaning patients from a ventilator.
D. Prior to neck surgery.",As an aid to weaning patients from a ventilator.,C,Clinical Knowledge
"A 59-year-old man is brought to the emergency department because of a 4-day history of nausea, vomiting, and diarrhea. He also has been confused and agitated during this period. He has a history of mild hypertension. His current medication is a diuretic. His temperature is 37°C (98.6°F), pulse is 108/min, respirations are 26/min, and blood pressure is 70/47 mm Hg. Physical examination shows delayed capillary refill of the lips and nail beds and cool extremities. His oxyhemoglobin saturation in a central vein is 60% (N=70–75). These findings are most consistent with which of the following types of shock?

A. Cardiogenic
B. Distributive
C. Hypovolemic
D. Obstructive",Hypovolemic,C,Professional Medicine
"Which of the following is true about Addisons Disease?

A. It is due to a deficiency of prolactin hormone
B. Leads to generalized pigmentation
C. It is a recognized cause of hypertension
D. Diabetes is a complication",Leads to generalized pigmentation,B,Clinical Knowledge
"When using an inhaler, when should a patient be asked to rinse their mouth?

A. Before using their bronchodilator inhaler.
B. After using their bronchodilator inhaler.
C. Before using their steroid inhaler.
D. After using their steroid inhaler.",After using their steroid inhaler.,D,Clinical Knowledge
"The optimum position for performing CPR is to position the patient:

A. in a semi-recumbent posture.
B. tilted to the left to keep the heart perfused.
C. flat on a firm surface.
D. on the floor with the legs raised.",flat on a firm surface.,C,Clinical Knowledge
"The bones of the viscerocranium develop initially by

A. endochondral ossification and follow the somatic growth pattern.
B. endochondral ossification and follow the neural growth pattern.
C. intramembranous ossification and follow the somatic growth pattern.
D. intramembranous ossification and follow the neural growth pattern.",intramembranous ossification and follow the somatic growth pattern.,C,Anatomy
"A patient is most likely to experience pain due to infection of the ethmoidal air cells sinus

A. at the base of the skull.
B. on the forehead.
C. in the cheeks.
D. between the eyes.",between the eyes.,D,Anatomy
"Laryngeal oedema is usually confined to the larynx above the vocal folds because

A. there are numerous mucous glands in the vestibular folds.
B. the mucosa covering the vocal folds is tightly attached to underlying tissues.
C. fluid will drain rapidly into the thorax below the vocal folds.
D. the mucosa above the vocal folds is more vascular than that below the vocal folds.",the mucosa covering the vocal folds is tightly attached to underlying tissues.,B,Anatomy
"Which of the following bones develop by endochondral ossification?

A. The ribs
B. The ribs and sternum
C. The ribs, sternum and clavicle
D. The ribs, sternum, clavicle and vertebrae",The ribs and sternum,B,Anatomy
"The energy charge of the cell is:

A. the difference between the charge on the outside and inside of a cell.
B. generated by the sodium-potassium ATPase.
C. the overall rate of energy use by the cell.
D. the extent to which the total adenine nucleotide pool is phosphorylated.",the extent to which the total adenine nucleotide pool is phosphorylated.,D,Clinical Knowledge
"A 67-year-old woman has had fatigue, dry skin, brittle hair, swelling of the ankles, and cold intolerance for 1 year; she has gained 9 kg (20 lb) during this period. Her pulse is 55/min, and blood pressure is 150/90 mm Hg. She appears lethargic. Examination shows dry skin and a nontender thyroid gland that is enlarged to two times its normal size. There is mild edema of the ankles bilaterally. The relaxation phase of the Achilles reflex is greatly prolonged. Which of the following is the most likely diagnosis?

A. Chronic lymphocytic thyroiditis (Hashimoto disease)
B. Defect in thyroxine (T4) biosynthesis
C. Graves disease
D. Multinodular goiter",Chronic lymphocytic thyroiditis (Hashimoto disease),A,Professional Medicine
"In a double stranded molecule of DNA, the ratio of purines : pyrimidines is:

A. variable.
B. determined by the base sequence in RNA.
C. genetically determined.
D. always 1:1.",always 1:1.,D,Clinical Knowledge
"A 22-year-old woman comes to the physician in October for a follow-up examination. She feels well. She has a 2-year history of type 1 diabetes mellitus controlled with insulin. She had a normal Pap smear 3 months ago and saw her ophthalmologist 6 months ago. Her 67-year-old grandmother has breast cancer. She is 168 cm (5 ft 6 in) tall and weighs 57 kg (125 lb); BMI is 20 kg/m2 . Her hemoglobin A1c is 6.2%, and fingerstick blood glucose concentration is 118 mg/dL. Which of the following health maintenance recommendations is most appropriate at this time?

A. Dietary modification for weight loss
B. Human papillomavirus testing
C. Mammography
D. Influenza virus vaccine",Influenza virus vaccine,D,Professional Medicine
"A 22-year-old male presents to the office with a 5-day history of diarrhea after completing his third course of antibiotics for mastoiditis. Physical examination reveals vague generalized abdominal pain on palpation. Culture on hektoen enteric agar is positive. The most likely etiologic agent causing the diarrhea is

A. Clostridium difficile
B. Entamoeba histolytica
C. Giardia lamblia
D. Salmonella typhi",Salmonella typhi,D,Professional Medicine
"Which muscles are normally active during quiet inspiration?

A. External and internal intercostal muscles
B. External intercostal muscles and diaphragm
C. Internal intercostal muscles and diaphragm
D. External and internal intercostal muscles and diaphragm",External intercostal muscles and diaphragm,B,Anatomy
"The maxillary sinus

A. is lined by stratified squamous epithelium.
B. drains into the superior meatus of the nasal cavities.
C. is innervated by branches of the maxillary division of the trigeminal nerve.
D. Receives its blood supply from the first part of the maxillary artery.",is innervated by branches of the maxillary division of the trigeminal nerve.,C,Anatomy
"Which of the following is true about possible rectal findings?

A. The finding of a palpable median groove in the prostate is an adverse finding
B. Impacted faeces can sometimes be mistaken for a rectal tumour
C. A thrombosed haemorrhoid is painless
D. Peri-anal warts can only be demonstrated on proctoscopy",Impacted faeces can sometimes be mistaken for a rectal tumour,B,Clinical Knowledge
"A 47-year-old man comes to the physician 12 hours after the sudden onset of a severe occipital headache and stiff neck. He has not had any other symptoms and has no history of severe headache. He has hypertension and gastroesophageal reflux disease. Current medications include hydrochlorothiazide and ranitidine. He is oriented to person, place, and time. His temperature is 36.7°C (98.1°F), pulse is 100/min, and blood pressure is 160/90 mm Hg. Range of motion of the neck is decreased due to pain. Neurologic examination shows no focal findings. Which of the following is the most likely diagnosis?

A. Cluster headache
B. Meningitis
C. Migraine
D. Subarachnoid hemorrhage",Subarachnoid hemorrhage,D,Professional Medicine
"A 32-year-old man is brought to the emergency department 30 minutes after being struck by a car while driving his motorcycle. He reports severe pelvic pain. On examination, there is bruising of the perineum and pain is elicited with motion of his pelvis. Blood is noted at the urethral meatus. There is no other penile trauma. A plain x-ray shows a fracture of the superior pubic ramus and retrograde urethrography is done to evaluate for a urethral disruption. Which of the following portions of the urethra would be at greatest risk for injury in this patient?

A. Intramural (pre-prostatic)
B. Membranous
C. Prostatic
D. Spongy",Membranous,B,Professional Medicine
"The carpal bones are the small bones of the wrist - name them.

A. Scaphoid, lunate, triquetral, pisiform, trapezium, trapezoid, capitate, hamate.
B. Scaphoid, lunar, triquetrium, pisiform, radius, ulna, capitates.
C. Scaphoid, proximal phalynx, humerus, hamate, capitate.
D. Scaphoid, radius, ulna, cunniform, trapezius.","Scaphoid, lunate, triquetral, pisiform, trapezium, trapezoid, capitate, hamate.",A,Clinical Knowledge
"Which of the following is true about radial nerve palsy?

A. The radial nerve arises from the lateral cord of the brachial plexus
B. It is associated with sensory loss over the medial half of the hand
C. It leads to wrist drop
D. It can occur due to a superficial laceration over the wrist",It leads to wrist drop,C,Clinical Knowledge
"Which of the following structures is part of the small intestine?

A. Ascending colon
B. Cecum
C. Ileum
D. Sigmoid colon",Ileum,C,Anatomy
"Which of the following statements is false?

A. Phosphofructokinase is the rate limiting enzyme in glycolysis.
B. Phosphorylase activity is higher in Type II fibres than in Type I fibres.
C. Endurance training increases the amount of TCA cycle enzymes in muscle.
D. Oxygen is consumed in the TCA cycle.",Oxygen is consumed in the TCA cycle.,D,Clinical Knowledge
"Which of the following best describes the human body's defense mechanism against environmental bacteria?

A. Hair in the nose
B. Mucous membranes
C. Osteoblasts
D. Saliva",Mucous membranes,B,Anatomy
"Three days after hospitalization for diabetic ketoacidosis, an 87-year-old woman refuses insulin injections. She says that her medical condition has declined so much that she no longer wishes to go on living; she is nearly blind and will likely require bilateral leg amputations. She reports that she has always been an active person and does not see how her life will be of value anymore. She has no family and most of her friends are sick or deceased. On mental status examination, she is alert and cooperative. She accurately describes her medical history and understands the consequences of refusing insulin. There is no evidence of depression. She dismisses any attempts by the physician to change her mind, saying that the physician is too young to understand her situation. She says, ""I know I will die, and this is what I want."" Which of the following is the most appropriate next step in management?

A. Discharge the patient after she has signed an ""against medical advice"" form
B. Seek a court order to appoint a legal guardian
C. Offer insulin but allow the patient to refuse it
D. Admit to the psychiatric unit",Offer insulin but allow the patient to refuse it,C,Professional Medicine
"A patient suffers a CVA in the area of the left internal capsule conveying motor neurons to the right leg. The patient's leg will exhibit

A. spastic paralysis.
B. flaccid paralysis.
C. tremor.
D. hyporeflexia.",spastic paralysis.,A,Anatomy
"The genome is:

A. the number of chromosomes found in the somatic cells of an organism.
B. the entire DNA sequence of an organism.
C. the entire list of proteins that an organism is capable of producing.
D. the DNA sequence of an entire chromosome.",the entire DNA sequence of an organism.,B,Clinical Knowledge
"When branched chain amino acids are deaminated in muscle, the ammonia produced is mostly:

A. converted into arginine and released from the muscle.
B. converted into alanine and glutamine and released from the muscle.
C. converted into urea and released from the muscle.
D. used to synthesise purines and pyrimidines in the muscle.",converted into alanine and glutamine and released from the muscle.,B,Clinical Knowledge
"A 55-year-old man has had crushing substernal chest pain on exertion over the past 6 weeks. He had a myocardial infarction 2 months ago. He takes nitroglycerin as needed and one aspirin daily. He has smoked two packs of cigarettes daily for 30 years. Examination shows normal heart sounds and no carotid or femoral bruits. Treatment with a β-adrenergic blocking agent is most likely to improve his symptoms due to which of the following mechanisms?

A. Decreasing myocardial contractility
B. Dilating the coronary arteries
C. Peripheral vasodilation
D. Preventing fibrin and platelet plugs",Decreasing myocardial contractility,A,Professional Medicine
"Which of the following best describes the effects of morphine?

A. Reduces pain intensity and increases alertness.
B. Reduces pain intensity but also causes sedation.
C. Reduces pain intensity but also causes diarrhoea.
D. Reduces pain intensity but also causes insomnia.",Reduces pain intensity but also causes sedation.,B,Clinical Knowledge
"Laryngoscopic examination of the vocal folds after suspected recurrent laryngeal nerve damage usually shows that the vocal fold on the injured side is tensed and in an intermediate position between adduction and abduction. This is because

A. cricothyroid muscle is still functional but the interarytenoid muscles are fully active.
B. cricothyroid muscle is still functional but the interarytenoids are weak.
C. cricothyroid muscle is paralyzed but the interarytenoids are fully active.
D. cricothyroid muscle is paralyzed but the interarytenoids are weak.",cricothyroid muscle is still functional but the interarytenoids are weak.,B,Anatomy
"A 64-year-old man with non-Hodgkin lymphoma comes to the physician because of a 3-week history of progressive numbness in his hands and feet and weakness in his legs when he stands. He received his third course of chemotherapy 4 weeks ago. Physical examination shows areflexia. Which of the following drugs is the most likely cause of these adverse effects?

A. Doxorubicin
B. Fluorouracil
C. Methotrexate
D. Vincristine",Vincristine,D,Professional Medicine
"Type I muscle fibres have the following characteristics:

A. white, glycolytic, slow contracting.
B. white, oxidative, slow contracting.
C. red, oxidative, fast contracting.
D. red, oxidative, slow contracting.","red, oxidative, slow contracting.",D,Clinical Knowledge
"A 5-year-old boy is brought to the physician by his mother because of a 2-day history of a low-grade fever, cough, and runny nose. His temperature is 38°C (100.4°F). Examination findings are consistent with a diagnosis of a common cold. The physician refers to a randomized, double-blind, placebo-controlled clinical trial that evaluated the effectiveness of a new drug for the treatment of the common cold. The mean time for resolution of symptoms for patients receiving the new drug was 6.4 days, compared with a mean time of 6.7 days for patients receiving the placebo (p=0.04). Which of the following is the most appropriate interpretation of these study results?

A. The findings are clinically and statistically significant
B. The findings are clinically insignificant but statistically significant
C. The findings are clinically significant but statistically insignificant
D. The findings are neither clinically nor statistically significant",The findings are clinically insignificant but statistically significant,B,Professional Medicine
"What is the 'normal' range of flexion at the knee joint?

A. 0-115 degrees.
B. 0-135 degrees.
C. 0-155 degrees.
D. 0-175 degrees.",0-135 degrees.,B,Clinical Knowledge
"The maximum sustainable power:

A. usually remains constant during a race.
B. declines with the distance of the race.
C. is improved by a high fat diet.
D. is inversely related to muscle glycogen content.",declines with the distance of the race.,B,Clinical Knowledge
"A 20-year-old female presents to the emergency department with a 2-day history of nausea and vomiting. She says that today she noticed a slight amount of blood in her vomit. She is a pre-med college student and admits to being under a lot of stress as she takes final exams. She also says that she drinks a large amount of coffee daily. Vital signs are normal. Which of the following is the most appropriate initial test to order?

A. abdominal flat plate radiography
B. amylase level
C. complete blood count
D. urine pregnancy test",urine pregnancy test,D,Professional Medicine
"Measuring the blood pressure in an arm that is above the level of the heart will:

A. accurately estimate the blood pressure.
B. overestimate the blood pressure.
C. cause an auscultatory gap.
D. underestimate the blood pressure.",underestimate the blood pressure.,D,Clinical Knowledge
"Where is the sinoatrial node located?

A. Between the left atrium and the left ventricle
B. Between the right atrium and the right ventricle
C. In the upper wall of the right atrium
D. In the upper wall of the left ventricle",In the upper wall of the right atrium,C,Anatomy
"The physician directs the medical assistant to complete a request form for an X-ray study of the fibula. The procedure will be performed on which of the following structures?

A. Heel
B. Lower leg
C. Toes
D. Thigh",Lower leg,B,Anatomy
"Prior to undergoing a painful procedure, a patient should be informed about what to expect and how their pain will be controlled, as this is associated with:

A. a reduction in anxiety and perceived pain intensity.
B. an increased use of analgesia.
C. a decrease in the frequency of pain-related problems such as nausea and vomiting.
D. an increased urine output.",a reduction in anxiety and perceived pain intensity.,A,Clinical Knowledge
"A 29-year-old woman comes to the emergency department because she has had increasingly severe lower abdominal pain and nausea for the past 2 days. She is sexually active and does not use any contraception. Her last menstrual period ended 6 days ago. Temperature is 38.3°C (101.0°F). Physical examination discloses abdominal tenderness in the lower quadrants bilaterally with rebound and guarding. Pelvic examination discloses leukorrhea at the cervical os and tenderness of the uterus to palpation. The adnexal areas are tender but no masses are palpable. Which of the following is the most appropriate diagnostic study?

A. Cervical culture
B. Culdocentesis
C. Laparoscopy
D. Serum β-hCG concentration",Cervical culture,A,Professional Medicine
"In general, the higher the intensity of exercise, the greater the proportional contribution of:

A. aerobic energy production.
B. anaerobic energy production.
C. the TCA cycle (Krebs' cycle) to the production of ATP.
D. the electron transfer chain to the production of ATP.",anaerobic energy production.,B,Clinical Knowledge
"A 45-year-old limousine driver comes to the office for an initial appointment because he would like you to fill out and sign a legal document at the request of his attorney. The patient states that he is filing a lawsuit against the limousine company that employs him because he developed post-traumatic stress disorder following a motor vehicle collision. He appears irritable and tense as he provides his history. He relays his symptoms by reading them aloud from a written list. At this time, which of the following is the most appropriate approach toward confirming the underlying diagnosis of this patient?

A. Administer amobarbital and then interview the patient
B. Ask the patient to provide a narrative with detailed description of the incident and of his symptoms
C. Interview the patient under hypnosis
D. Interview the patient while paying close attention to his willingness to make eye contact",Ask the patient to provide a narrative with detailed description of the incident and of his symptoms,B,Professional Medicine
"A 2-year-old boy is brought to the office by his mother for follow-up of a chromosome analysis done 1 month ago. The child has minor dysmorphic features, and growth and developmental delay. Chromosome analysis showed a small unbalanced chromosome translocation, with extra chromosomal material at the tip of chromosome 3. The cytogenetics laboratory requested blood samples from both parents for follow-up studies. The parents are divorced, and the mother has custody of the child. The relationship between the parents is hostile. The mother has been tested and has normal chromosomes without evidence of translocation. At today's visit, she reacts angrily when the issue of contacting the child's father for testing is raised. She states that he abandoned them and that he has no interest in his child. She refuses to cooperate in contacting the father, who could be a translocation carrier. You do not know the father, but an office worker told you that he lives in a nearby town. The mother says that he is living with a new girlfriend. Which of the following is the most appropriate next step?

A. Attempt to identify the father's physician and work with that physician to obtain chromosome studies on the father
B. Contact the father by telephone and arrange for him to give a blood sample at a local hospital
C. Document your attempts to work with the mother but proceed no further, since you have no physician-patient relationship with the father
D. Help the mother deal with her anger and educate her regarding the potential benefit to her son and others if the father's chromosome studies are done",Help the mother deal with her anger and educate her regarding the potential benefit to her son and others if the father's chromosome studies are done,D,Professional Medicine
"When an emergency opening into the airway is required, the cricothyroid membrane should be pierced immediately

A. superior to the thyroid cartilage.
B. inferior to the thyroid cartilage.
C. inferior to the cricoid cartilage.
D. superior to the thyroid isthmus.",inferior to the thyroid cartilage.,B,Anatomy
"Which of the following is present in saliva and has an antibacterial action?

A. Lysozyme.
B. Amylase.
C. Sodium chloride.
D. Mucus.",Lysozyme.,A,Clinical Knowledge
"While you are on rounds at a local nursing facility, the nurse mentions that your patient, a 79-year-old woman, appears to be a ""poor eater."" She was admitted to the nursing facility 3 months ago from the hospital where she was treated for congestive heart failure. Her daughter had moved away from the area, and nursing home placement was necessary because the patient could no longer function independently. Her present medications include furosemide and digoxin. Physical examination is normal except for a weight loss of 3.5 kg (7 lb) during the past 3 months. In your conversation with the patient, she says, ""No, I'm not depressed, I just don't have an appetite anymore. Nothing tastes good to me. I have a little bit of nausea most of the time."" Which of the following is the most appropriate initial diagnostic study?

A. Chest x-ray
B. Complete blood count
C. Determination of serum albumin concentration
D. Determination of serum digoxin level",Determination of serum digoxin level,D,Professional Medicine
"Which of the following cranial nerves is related to the sense of smell?

A. Abducens
B. Hypoglossal
C. Olfactory
D. Trochlear",Olfactory,C,Anatomy
"Parasympathetic preganglionic axons leave the CNS with the

A. cervical spinal nerves.
B. thoracic spinal nerves.
C. lumbar spinal nerves.
D. sacral spinal nerves.",sacral spinal nerves.,D,Anatomy
"Which of the following are mucus-producing glands located on each side of the vaginal opening?

A. Adrenal
B. Bartholin's
C. Bulbourethral
D. Corpus luteum",Bartholin's,B,Anatomy
"Which of these is most likely to cause deviation of the trachea?

A. A left basal pneumonia
B. A small right pleural effusion
C. Previous tuberculosis of the right upper lobe
D. Idiopathic fibrosing alveolitis",Previous tuberculosis of the right upper lobe,C,Clinical Knowledge
"A 10-year-old boy is brought for a follow-up examination 2 days after he was seen in the emergency department because of hives, hoarseness, and light-headedness. His symptoms began 15 minutes after he was stung by a bee and lasted approximately 60 minutes; they resolved before he was treated. He has been stung by bees three times over the past year, and each reaction has been more severe. Examination shows no abnormalities. Which of the following is the most appropriate recommendation to prevent future morbidity and mortality from this condition?

A. Avoid areas known to have bees
B. Avoid wearing colorful clothing outside
C. Carrying diphenhydramine tablets
D. Carrying self-injectable epinephrine",Carrying self-injectable epinephrine,D,Professional Medicine
"A 15-year-old girl comes to the physician because of a 3-month history of acne. Breast and pubic hair development began at the age of 12 years. Menarche occurred at the age of 14 years. Physical examination shows scattered open and closed comedones over the cheeks and forehead. Breast and pubic hair development are Tanner stage 5. Which of the following is the most likely underlying cause of this patient's acne?

A. Increased estrogen stimulation of the sebaceous glands
B. Increased responsiveness of the sebaceous glands to follicle-stimulating hormone
C. Increased sympathetic stimulation to the sebaceous glands
D. Stimulation of the sebaceous glands by androgens",Stimulation of the sebaceous glands by androgens,D,Professional Medicine
"In Angle's Class II Div 2 occlusion there is

A. excess overbite of the upper lateral incisors.
B. negative overjet of the upper central incisors.
C. excess overjet of the upper lateral incisors.
D. excess overjet of the upper central incisors.",excess overjet of the upper lateral incisors.,C,Anatomy
"Which of the following bony structures may be palpated in a live patient?

A. The supraorbital foramen
B. The infraorbital foramen
C. The mental foramen
D. All of the above",All of the above,D,Anatomy
"Which of the following is a disorder characterized by uncontrollable episodes of falling asleep during the day?

A. Dyslexia
B. Epilepsy
C. Hydrocephalus
D. Narcolepsy",Narcolepsy,D,Anatomy
"Under which circumstances would you not use a catheter valve?

A. If the patient is post-operative.
B. If the patient chooses it.
C. If the patient has bladder sensation.
D. If urine does not need to be measured.",If the patient is post-operative.,A,Clinical Knowledge
"Which of the following is true regarding the complications of a large goitre?

A. It causes stridor due to compression of the oesophagus
B. Dysphagia is an indication for surgery
C. It causes hoarseness due to compression of the trachea
D. It causes a more florid thyrotoxicosis than a smaller goitre",Dysphagia is an indication for surgery,B,Clinical Knowledge
"Which of the following is true about an intention tremor?

A. It is worse at rest
B. It is caused by Parkinson's Disease
C. It is indicative of a cerebellar lesion
D. Dyscalculia is a common association",It is indicative of a cerebellar lesion,C,Clinical Knowledge
"Muscle lactate production increases when:

A. oxygen is readily available.
B. pyruvate cannot be formed from glucose breakdown.
C. the pH of the muscle falls.
D. glycolysis is activated at the onset of exercise.",glycolysis is activated at the onset of exercise.,D,Clinical Knowledge
"A 14-16 gauge needle is most likely to be used for:

A. children.
B. elderly patients.
C. inserting in the back of the hand.
D. trauma or burns patients.",trauma or burns patients.,D,Clinical Knowledge
"The main factors determining success in sport are:

A. a high energy diet and large appetite.
B. high intelligence and motivation to succeed.
C. a good coach and the motivation to succeed.
D. innate ability and the capacity to respond to the training stimulus.",innate ability and the capacity to respond to the training stimulus.,D,Clinical Knowledge
"A 25-year-old man is brought to the emergency department after being discovered semiconscious and incoherent at home. On arrival, he is stuporous. His blood pressure is 105/70 mm Hg, pulse is 80/min, and respirations are 12/min. Examination shows cool, damp skin. The pupils are pinpoint and react sluggishly to light. Which of the following is the most likely substance taken?

A. Alcohol
B. Barbiturates
C. Cocaine
D. Heroin",Heroin,D,Professional Medicine
"Which of the following is true of Paget's Disease?

A. Bowing of a long bone is a characteristic feature
B. Spinal cord compression is a common complication
C. Heart failure is not a recognized complication
D. Pathological fractures are not a feature",Bowing of a long bone is a characteristic feature,A,Clinical Knowledge
"In the brain stem, pathways for:

A. nociception decussate in the medial lemniscus
B. skilled movements decussate in the medial lemniscus
C. skilled motor movements decussate in the pyramids.
D. discriminative touch decussate in the pyramids.",skilled motor movements decussate in the pyramids.,C,Anatomy
"You suspect that your patient has an enlarged submandibular salivary gland. You expect the enlarged gland

A. to be palpable intraorally..
B. to be palpable extraorally.
C. to be palpable both intra- and extraorally.
D. only to be detectable by radiographical examination.",to be palpable both intra- and extraorally.,C,Anatomy
"A sexually active 23-year-old man with multiple sex partners has dysuria and a yellow urethral exudate. Gram stain of the exudate shows numerous neutrophils, many that contain intracellular gram-negative diplococci. He has had three similar episodes of urethritis over the past 2 years. Which of the following properties of the infecting organism best explains the reinfection?

A. Antigenic variation
B. Catalase
C. Inhibition of B-lymphocyte function
D. Inhibition of T-lymphocyte function",Antigenic variation,A,Professional Medicine
"A patient has a fracture in which the radius is bent but not displaced, and the skin is intact. This type of fracture is known as which of the following?

A. Closed, greenstick
B. Complex, comminuted
C. Compound, transverse
D. Open, spiral","Closed, greenstick",A,Anatomy
"A 42-year-old woman comes to the physician because of an 8-week history of intermittent nausea and abdominal pain that occurs 20 to 30 minutes after eating. The pain extends from the epigastrium to the right upper quadrant and is sometimes felt in the right scapula; it lasts about 30 minutes and is not relieved by antacids. The last episode occurred after she ate a hamburger and french fries. She has not had vomiting. She is currently asymptomatic. She is 165 cm (5 ft 5 in) tall and weighs 104 kg (230 lb); BMI is 38 kg/m2 . Examination shows no other abnormalities. Which of the following is the most appropriate next step in management?

A. Abdominal ultrasonography of the right upper quadrant
B. Upper gastrointestinal series with small bowel follow-through
C. CT scan of the abdomen
D. Endoscopic retrograde cholangiopancreatography",Abdominal ultrasonography of the right upper quadrant,A,Professional Medicine
"Which one of the following groups of patients should be assessed using an Early Warning Score (EWS)?

A. Only patients over 60 years of age.
B. Only patients admitted to the Emergency Department.
C. Only patients who have been on an Intensive care/High dependency unit.
D. Any patient who is acutely unwell pre-operatively or post-operatively and those who have undergone major surgery.",Any patient who is acutely unwell pre-operatively or post-operatively and those who have undergone major surgery.,D,Clinical Knowledge
"Which of the following groups of drugs may cause a dry mouth?

A. Steroids.
B. Analgesics.
C. Antidepressants.
D. Antifungal agents.",Antidepressants.,C,Clinical Knowledge
"Which of the following releases most energy when completely oxidised in the body?

A. One gram of glucose
B. One gram of palmitic acid
C. One gram of leucine
D. One gram of alcohol",One gram of palmitic acid,B,Clinical Knowledge
"The rate of blood lactate accumulation is determined by:

A. the rate of muscle lactate production and the rate of muscle lactate efflux.
B. the rate of anaerobic glycolysis.
C. the rate of muscle glucose uptake.
D. the difference between the rate of lactate appearance and the rate of lactate clearance.",the difference between the rate of lactate appearance and the rate of lactate clearance.,D,Clinical Knowledge
